Season,Team,3P,3PA,3P%,2P,2PA,2P%,FGA,PTS
1979-80,Golden State Warriors,0.3,1.5,0.223,42.7,87.8,0.486,89.2,103.6
1980-81,Golden State Warriors,0.7,2.6,0.286,42.7,86.3,0.495,88.8,109.8
1981-82,Golden State Warriors,1.1,4.0,0.28,43.4,85.7,0.506,89.6,110.9
1982-83,Golden State Warriors,0.4,1.8,0.227,43.8,89.7,0.488,91.6,108.6
1983-84,Golden State Warriors,0.7,2.8,0.243,42.2,89.1,0.474,91.9,109.9
1984-85,Golden State Warriors,1.4,4.8,0.282,41.3,87.3,0.473,92.1,110.4
1985-86,Golden State Warriors,1.1,3.4,0.313,43.5,88.9,0.489,92.3,113.4
1986-87,Golden State Warriors,1.4,4.4,0.319,41.9,86.0,0.487,90.4,112.0
1987-88,Golden State Warriors,1.1,3.8,0.292,41.1,86.5,0.475,90.3,107.0
1988-89,Golden State Warriors,2.4,7.7,0.308,43.1,89.6,0.481,97.3,116.6
1989-90,Golden State Warriors,3.0,9.1,0.324,39.6,78.8,0.503,87.9,116.3
1990-91,Golden State Warriors,3.3,9.8,0.337,40.2,79.8,0.504,89.6,116.6
1991-92,Golden State Warriors,3.1,9.3,0.333,42.8,81.3,0.527,90.6,118.7
1992-93,Golden State Warriors,3.6,10.4,0.35,38.7,77.6,0.499,88.0,109.9
1993-94,Golden State Warriors,3.5,10.5,0.339,39.3,76.7,0.512,87.1,107.9
1994-95,Golden State Warriors,6.7,19.5,0.341,32.6,64.3,0.507,83.8,105.7
1995-96,Golden State Warriors,5.5,14.6,0.373,31.8,67.1,0.474,81.7,101.6
1996-97,Golden State Warriors,5.9,16.6,0.353,30.7,63.5,0.483,80.1,99.6
1997-98,Golden State Warriors,2.3,8.5,0.272,32.4,75.5,0.429,83.9,88.3
1998-99,Golden State Warriors,3.2,11.3,0.287,31.4,72.2,0.435,83.5,88.3
1999-00,Golden State Warriors,4.2,13.0,0.323,32.3,74.0,0.437,87.1,95.5
2000-01,Golden State Warriors,3.4,11.8,0.293,32.4,75.7,0.427,87.5,92.5
2001-02,Golden State Warriors,3.9,12.1,0.322,32.7,73.1,0.447,85.2,97.7
2002-03,Golden State Warriors,5.2,15.1,0.344,32.1,69.6,0.462,84.6,102.4
2003-04,Golden State Warriors,5.2,15.6,0.334,29.8,63.8,0.468,79.4,93.3
2004-05,Golden State Warriors,7.6,21.6,0.352,29.3,64.2,0.457,85.8,98.7
2005-06,Golden State Warriors,7.6,22.3,0.341,28.2,60.4,0.467,82.7,98.5
2006-07,Golden State Warriors,8.5,24.0,0.356,31.2,62.0,0.504,86.0,106.5
2007-08,Golden State Warriors,9.3,26.6,0.348,32.2,63.7,0.506,90.3,111.0
2008-09,Golden State Warriors,6.7,18.0,0.373,32.7,68.0,0.48,86.0,108.6
2009-10,Golden State Warriors,7.7,20.6,0.375,32.9,65.9,0.499,86.5,108.8
2010-11,Golden State Warriors,8.4,21.3,0.392,31.3,64.6,0.484,85.9,103.4
2011-12,Golden State Warriors,7.9,20.5,0.388,29.8,62.0,0.48,82.5,97.8
2012-13,Golden State Warriors,8.0,19.9,0.403,30.1,63.5,0.475,83.4,101.2
2013-14,Golden State Warriors,9.4,24.8,0.38,30.0,60.6,0.496,85.4,104.3
2014-15,Golden State Warriors,10.8,27.0,0.398,30.8,60.0,0.514,87.0,110.0
2015-16,Golden State Warriors,13.1,31.6,0.416,29.4,55.7,0.528,87.3,114.9
2016-17,Golden State Warriors,12.0,31.2,0.383,31.1,55.8,0.557,87.1,115.9
2017-18,Golden State Warriors,11.3,28.9,0.391,31.5,56.2,0.56,85.1,113.5
2018-19,Golden State Warriors,13.3,34.4,0.385,30.8,55.3,0.557,89.8,117.7
2019-20,Golden State Warriors,10.4,31.3,0.334,28.2,56.9,0.495,88.2,106.3
2020-21,Golden State Warriors,14.6,38.7,0.376,26.7,49.4,0.541,88.2,113.7
2021-22,Golden State Warriors,14.3,39.4,0.364,26.2,47.0,0.557,86.4,111.0
2022-23,Golden State Warriors,16.6,43.2,0.385,26.5,47.0,0.564,90.2,118.9
2023-24,Golden State Warriors,14.8,38.9,0.38,28.9,52.7,0.548,91.6,117.8
2024-25,Golden State Warriors,15.4,42.4,0.364,25.3,48.0,0.528,90.4,113.8
2025-26,Golden State Warriors,15.7,44.1,0.356,25.3,44.7,0.565,88.8,114.6
