Season,Team,3P,3PA,3P%,2P,2PA,2P%,FGA,PTS,Teams_count,Lg_3P,Lg_3PA,Lg_3P%,Lg_2P,Lg_2PA,Lg_2P%,Lg_FGA,Lg_PTS,Diff_3P,Diff_3PA,Diff_3P%,Diff_2P,Diff_2PA,Diff_2P%,Diff_FGA,Diff_PTS,GSW_3P_scoring_share,Lg_3P_scoring_share,GSW_3PA_share,Lg_3PA_share
1979-80,Golden State Warriors,0.3,1.5,0.223,42.7,87.8,0.486,89.2,103.6,21,0.795,2.829,0.265,42.862,87.876,0.488,90.719,109.614,-0.495,-1.329,-0.042,-0.162,-0.076,-0.002,-1.519,-6.014,0.009,0.022,0.017,0.031
1980-81,Golden State Warriors,0.7,2.6,0.286,42.7,86.3,0.495,88.8,109.8,22,0.495,1.991,0.227,42.459,86.409,0.491,88.409,108.018,0.205,0.609,0.059,0.241,-0.109,0.004,0.391,1.782,0.019,0.014,0.029,0.023
1981-82,Golden State Warriors,1.1,4.0,0.28,43.4,85.7,0.506,89.6,110.9,22,0.586,2.209,0.251,42.7,85.973,0.497,88.155,108.482,0.514,1.791,0.029,0.7,-0.273,0.009,1.445,2.418,0.03,0.016,0.045,0.025
1982-83,Golden State Warriors,0.4,1.8,0.227,43.8,89.7,0.488,91.6,108.6,22,0.541,2.273,0.231,42.955,87.305,0.492,89.568,108.509,-0.141,-0.473,-0.004,0.845,2.395,-0.004,2.032,0.091,0.011,0.015,0.02,0.025
1983-84,Golden State Warriors,0.7,2.8,0.243,42.2,89.1,0.474,91.9,109.9,22,0.591,2.355,0.242,42.909,85.841,0.5,88.195,110.127,0.109,0.445,0.001,-0.709,3.259,-0.026,3.705,-0.227,0.019,0.016,0.03,0.027
1984-85,Golden State Warriors,1.4,4.8,0.282,41.3,87.3,0.473,92.1,110.4,22,0.868,3.068,0.273,42.95,85.914,0.5,88.959,110.859,0.532,1.732,0.009,-1.65,1.386,-0.027,3.141,-0.459,0.038,0.023,0.052,0.034
1985-86,Golden State Warriors,1.1,3.4,0.313,43.5,88.9,0.489,92.3,113.4,22,0.941,3.336,0.266,42.2,85.132,0.496,88.468,110.077,0.159,0.064,0.047,1.3,3.768,-0.007,3.832,3.323,0.029,0.026,0.037,0.038
1986-87,Golden State Warriors,1.4,4.4,0.319,41.9,86.0,0.487,90.4,112.0,22,1.423,4.75,0.289,41.186,83.982,0.491,88.723,109.85,-0.023,-0.35,0.03,0.714,2.018,-0.004,1.677,2.15,0.037,0.039,0.049,0.054
1987-88,Golden State Warriors,1.1,3.8,0.292,41.1,86.5,0.475,90.3,107.0,22,1.6,5.045,0.307,40.532,82.559,0.491,87.6,108.214,-0.5,-1.245,-0.015,0.568,3.941,-0.016,2.7,-1.214,0.031,0.044,0.042,0.058
1988-89,Golden State Warriors,2.4,7.7,0.308,43.1,89.6,0.481,97.3,116.6,24,2.108,6.504,0.312,40.233,82.108,0.49,88.629,108.858,0.292,1.196,-0.004,2.867,7.492,-0.009,8.671,7.742,0.062,0.058,0.079,0.073
1989-90,Golden State Warriors,3.0,9.1,0.324,39.6,78.8,0.503,87.9,116.3,26,2.154,6.512,0.316,39.331,80.615,0.488,87.123,106.631,0.846,2.588,0.008,0.269,-1.815,0.015,0.777,9.669,0.077,0.061,0.104,0.075
1990-91,Golden State Warriors,3.3,9.8,0.337,40.2,79.8,0.504,89.6,116.6,26,2.258,7.038,0.314,39.023,80.065,0.488,87.108,105.904,1.042,2.762,0.023,1.177,-0.265,0.016,2.492,10.696,0.085,0.064,0.109,0.081
1991-92,Golden State Warriors,3.1,9.3,0.333,42.8,81.3,0.527,90.6,118.7,26,2.504,7.565,0.325,38.581,79.658,0.485,87.223,104.8,0.596,1.735,0.008,4.219,1.642,0.042,3.377,13.9,0.078,0.072,0.103,0.087
1992-93,Golden State Warriors,3.6,10.4,0.35,38.7,77.6,0.499,88.0,109.9,26,3.0,8.892,0.331,37.627,76.981,0.489,85.873,105.088,0.6,1.508,0.019,1.073,0.619,0.01,2.127,4.812,0.098,0.086,0.118,0.104
1993-94,Golden State Warriors,3.5,10.5,0.339,39.3,76.7,0.512,87.1,107.9,26,3.285,9.873,0.332,35.9,74.465,0.482,84.342,101.265,0.215,0.627,0.007,3.4,2.235,0.03,2.758,6.635,0.097,0.097,0.121,0.117
1994-95,Golden State Warriors,6.7,19.5,0.341,32.6,64.3,0.507,83.8,105.7,26,5.442,15.135,0.359,32.492,66.262,0.491,81.396,101.238,1.258,4.365,-0.018,0.108,-1.962,0.016,2.404,4.462,0.19,0.161,0.233,0.186
1995-96,Golden State Warriors,5.5,14.6,0.373,31.8,67.1,0.474,81.7,101.6,28,5.896,16.118,0.365,31.139,64.032,0.487,80.136,99.425,-0.396,-1.518,0.008,0.661,3.068,-0.013,1.564,2.175,0.162,0.178,0.179,0.201
1996-97,Golden State Warriors,5.9,16.6,0.353,30.7,63.5,0.483,80.1,99.6,28,6.05,16.8,0.36,30.0,62.475,0.48,79.271,96.807,-0.15,-0.2,-0.007,0.7,1.025,0.003,0.829,2.793,0.178,0.187,0.207,0.212
1997-98,Golden State Warriors,2.3,8.5,0.272,32.4,75.5,0.429,83.9,88.3,28,4.479,12.861,0.346,31.475,66.686,0.473,79.561,95.836,-2.179,-4.361,-0.074,0.925,8.814,-0.044,4.339,-7.536,0.078,0.14,0.101,0.162
1998-99,Golden State Warriors,3.2,11.3,0.287,31.4,72.2,0.435,83.5,88.3,28,4.5,13.232,0.338,29.65,64.771,0.458,78.007,91.704,-1.3,-1.932,-0.051,1.75,7.429,-0.023,5.493,-3.404,0.109,0.147,0.135,0.17
1999-00,Golden State Warriors,4.2,13.0,0.323,32.3,74.0,0.437,87.1,95.5,28,4.861,13.743,0.354,31.975,68.179,0.469,81.918,97.546,-0.661,-0.743,-0.031,0.325,5.821,-0.032,5.182,-2.046,0.132,0.149,0.149,0.168
2000-01,Golden State Warriors,3.4,11.8,0.293,32.4,75.7,0.427,87.5,92.5,28,4.893,13.775,0.354,30.789,66.575,0.463,80.357,94.893,-1.493,-1.975,-0.061,1.611,9.125,-0.036,7.143,-2.393,0.11,0.155,0.135,0.171
2001-02,Golden State Warriors,3.9,12.1,0.322,32.7,73.1,0.447,85.2,97.7,28,5.261,14.85,0.353,30.904,66.293,0.466,81.129,95.393,-1.361,-2.75,-0.031,1.796,6.807,-0.019,4.071,2.307,0.12,0.165,0.142,0.183
2002-03,Golden State Warriors,5.2,15.1,0.344,32.1,69.6,0.462,84.6,102.4,28,5.132,14.661,0.347,30.532,65.968,0.463,80.646,94.829,0.068,0.439,-0.003,1.568,3.632,-0.001,3.954,7.571,0.152,0.162,0.178,0.182
2003-04,Golden State Warriors,5.2,15.6,0.334,29.8,63.8,0.468,79.4,93.3,28,5.182,14.896,0.346,29.825,64.929,0.459,79.832,93.4,0.018,0.704,-0.012,-0.025,-1.129,0.009,-0.432,-0.1,0.167,0.166,0.196,0.187
2004-05,Golden State Warriors,7.6,21.6,0.352,29.3,64.2,0.457,85.8,98.7,29,5.531,15.548,0.353,30.383,64.6,0.471,80.148,97.138,2.069,6.052,-0.001,-1.083,-0.4,-0.014,5.652,1.562,0.231,0.171,0.252,0.194
2005-06,Golden State Warriors,7.6,22.3,0.341,28.2,60.4,0.467,82.7,98.5,29,5.662,15.766,0.357,30.183,63.1,0.478,78.862,96.962,1.938,6.534,-0.016,-1.983,-2.7,-0.011,3.838,1.538,0.231,0.175,0.27,0.2
2006-07,Golden State Warriors,8.5,24.0,0.356,31.2,62.0,0.504,86.0,106.5,29,5.986,16.697,0.357,30.441,62.783,0.485,79.493,98.472,2.514,7.303,-0.001,0.759,-0.783,0.019,6.507,8.028,0.239,0.182,0.279,0.21
2007-08,Golden State Warriors,9.3,26.6,0.348,32.2,63.7,0.506,90.3,111.0,29,6.469,17.814,0.361,30.652,63.386,0.484,81.207,99.541,2.831,8.786,-0.013,1.548,0.314,0.022,9.093,11.459,0.251,0.195,0.295,0.219
2008-09,Golden State Warriors,6.7,18.0,0.373,32.7,68.0,0.48,86.0,108.6,29,6.652,18.138,0.365,30.4,62.607,0.486,80.741,99.645,0.048,-0.138,0.008,2.3,5.393,-0.006,5.259,8.955,0.185,0.2,0.209,0.225
