Season,Teams_count,Lg_3P,Lg_3PA,Lg_3P%,Lg_2P,Lg_2PA,Lg_2P%,Lg_FGA,Lg_PTS
1979-80,21,0.795,2.829,0.265,42.862,87.876,0.488,90.719,109.614
1980-81,22,0.495,1.991,0.227,42.459,86.409,0.491,88.409,108.018
1981-82,22,0.586,2.209,0.251,42.7,85.973,0.497,88.155,108.482
1982-83,22,0.541,2.273,0.231,42.955,87.305,0.492,89.568,108.509
1983-84,22,0.591,2.355,0.242,42.909,85.841,0.5,88.195,110.127
1984-85,22,0.868,3.068,0.273,42.95,85.914,0.5,88.959,110.859
1985-86,22,0.941,3.336,0.266,42.2,85.132,0.496,88.468,110.077
1986-87,22,1.423,4.75,0.289,41.186,83.982,0.491,88.723,109.85
1987-88,22,1.6,5.045,0.307,40.532,82.559,0.491,87.6,108.214
1988-89,24,2.108,6.504,0.312,40.233,82.108,0.49,88.629,108.858
1989-90,26,2.154,6.512,0.316,39.331,80.615,0.488,87.123,106.631
1990-91,26,2.258,7.038,0.314,39.023,80.065,0.488,87.108,105.904
1991-92,26,2.504,7.565,0.325,38.581,79.658,0.485,87.223,104.8
1992-93,26,3.0,8.892,0.331,37.627,76.981,0.489,85.873,105.088
1993-94,26,3.285,9.873,0.332,35.9,74.465,0.482,84.342,101.265
1994-95,26,5.442,15.135,0.359,32.492,66.262,0.491,81.396,101.238
1995-96,28,5.896,16.118,0.365,31.139,64.032,0.487,80.136,99.425
1996-97,28,6.05,16.8,0.36,30.0,62.475,0.48,79.271,96.807
1997-98,28,4.479,12.861,0.346,31.475,66.686,0.473,79.561,95.836
1998-99,28,4.5,13.232,0.338,29.65,64.771,0.458,78.007,91.704
1999-00,28,4.861,13.743,0.354,31.975,68.179,0.469,81.918,97.546
2000-01,28,4.893,13.775,0.354,30.789,66.575,0.463,80.357,94.893
2001-02,28,5.261,14.85,0.353,30.904,66.293,0.466,81.129,95.393
2002-03,28,5.132,14.661,0.347,30.532,65.968,0.463,80.646,94.829
2003-04,28,5.182,14.896,0.346,29.825,64.929,0.459,79.832,93.4
2004-05,29,5.531,15.548,0.353,30.383,64.6,0.471,80.148,97.138
2005-06,29,5.662,15.766,0.357,30.183,63.1,0.478,78.862,96.962
2006-07,29,5.986,16.697,0.357,30.441,62.783,0.485,79.493,98.472
2007-08,29,6.469,17.814,0.361,30.652,63.386,0.484,81.207,99.541
2008-09,29,6.652,18.138,0.365,30.4,62.607,0.486,80.741,99.645
2009-10,29,6.397,18.052,0.352,31.221,63.479,0.492,81.528,100.162
2010-11,29,6.397,17.897,0.355,30.779,63.155,0.488,81.048,99.421
2011-12,29,6.355,18.314,0.346,30.076,63.083,0.477,81.393,96.207
2012-13,29,7.134,19.969,0.356,29.969,62.01,0.484,81.979,98.031
2013-14,29,7.686,21.424,0.358,29.972,61.493,0.488,82.917,100.897
2014-15,29,7.748,22.252,0.347,29.634,61.2,0.485,83.445,99.672
2015-16,29,8.348,23.824,0.351,29.731,60.659,0.49,84.476,102.241
2016-17,29,9.569,26.859,0.356,29.331,58.5,0.502,85.359,105.234
2017-18,29,10.459,29.0,0.361,29.041,57.079,0.509,86.097,106.09
2018-19,29,11.293,31.924,0.354,29.679,57.269,0.519,89.193,110.979
2019-20,29,12.255,34.2,0.359,28.641,54.634,0.525,88.824,111.869
2020-21,29,12.641,34.497,0.366,28.59,53.917,0.53,88.424,112.031
2021-22,29,12.376,35.034,0.353,28.255,53.128,0.532,88.148,110.593
2022-23,29,12.193,33.9,0.359,29.755,54.338,0.548,88.252,114.541
2023-24,29,12.772,34.976,0.365,29.352,53.834,0.545,88.81,114.097
2024-25,29,13.472,37.417,0.36,28.259,51.779,0.546,89.203,113.828
2025-26,29,13.217,36.731,0.359,28.786,52.372,0.55,89.1,115.641
